metric,label,format,domain,higher_is_better,display_in_dashboard,display_priority,formula,definition,strategic_use,high_value_interpretation,low_value_interpretation,trend_interpretation,caveats,source_layer,module
occupancy_rate,Occupancy rate,percent,Utilization,TRUE,TRUE,10,Total resident days / total bed days available,The share of available bed days filled by residents during the cost-reporting period.,"Core utilization metric for demand, capacity use, referral strength, and excess capacity.","Higher occupancy generally suggests stronger demand or better use of capacity, though very high occupancy can reduce flexibility.","Lower occupancy may suggest referral leakage, market competition, reputation issues, or excess capacity.",A declining trend can signal weakening market position; improvement can suggest better referral capture or demand recovery.,"Interpret occupancy with payer mix, margin, staffing, and quality; occupancy alone does not prove financial strength.",current_public_puf_api,Overview
average_daily_census,Average daily census,number,Utilization,TRUE,TRUE,20,Total resident days / report days used for rates,Estimated average resident census during the cost-reporting period.,Gives an intuitive size and volume measure that complements beds and occupancy.,Higher ADC usually indicates larger operating scale or stronger utilization.,"Lower ADC may indicate small scale, excess capacity, or weak demand.",A declining ADC trend can explain worsening cost per day or margin pressure.,Uses cost-report period days; partial or irregular reports should be reviewed with data-quality flags.,current_public_puf_api,Overview
medicare_day_share,Medicare day share,percent,Payer mix,TRUE,TRUE,40,Medicare days / total resident days,The share of total resident days paid by Medicare.,Proxy for skilled/post-acute orientation and hospital referral capture.,"Higher share may reflect stronger post-acute volume, skilled care, or Medicare exposure.",Lower share may indicate long-stay/custodial orientation or weaker skilled referral capture.,Declining share may indicate loss of post-acute referrals or shift toward long-stay utilization.,"Not a direct case-mix measure; interpret later with PBJ staffing, quality, hospital referrals, and Medicare Advantage context.",current_public_puf_api,Payer mix
medicaid_day_share,Medicaid day share,percent,Payer mix,FALSE,TRUE,50,Medicaid days / total resident days,The share of total resident days paid by Medicaid.,Assesses long-stay payer dependence and exposure to state Medicaid reimbursement policy.,Higher share often reflects a long-stay nursing facility model and may increase reimbursement adequacy risk.,"Lower share may reflect more post-acute, private-pay, or other-payer business mix.",Rising share can indicate increasing dependence on long-stay Medicaid volume.,"High Medicaid share is not automatically negative; interpret with state rates, costs, occupancy, and margin.",current_public_puf_api,Payer mix
other_day_share,Other/private day share,percent,Payer mix,TRUE,TRUE,60,Other days / total resident days,The share of resident days not classified as Medicare or Medicaid.,"Broad proxy for private pay, managed care, commercial, or other payer activity.",Higher share may reflect payer diversity or private/managed-care activity.,Lower share may indicate heavier reliance on Medicare and Medicaid programs.,"Changing trend may suggest shifts in payer contracts, resident mix, or market dynamics.",This is a broad residual category and should not be treated as a clean private-pay measure without payer detail.,current_public_puf_api,Payer mix
net_patient_revenue_per_day,Net patient revenue per resident day,dollar,Revenue,TRUE,TRUE,70,Net patient revenue / total resident days,Net patient care revenue divided by total resident days.,"Evaluates revenue yield, reimbursement adequacy, payer mix, and payment performance.","Higher value may reflect stronger skilled mix, reimbursement, acuity, or payer contracts.","Lower value may reflect Medicaid dependence, weak contracts, lower acuity, or limited skilled volume.",Compare trend with expense per day to identify margin compression or improvement.,Do not interpret revenue per day without payer mix and case-mix context.,current_public_puf_api,Financials
operating_expense_per_day,Operating expense per resident day,dollar,Cost,FALSE,TRUE,80,Operating expense / total resident days,Total operating expense divided by total resident days.,"Assesses cost intensity, operating efficiency, labor pressure, and sustainability.","Higher value may reflect staffing costs, contract labor, acuity, overhead, capital, or inefficiency.","Lower value may reflect efficiency, lower labor costs, lower acuity, or possible underinvestment.","If expenses grow faster than revenue per day, margin pressure may increase.","Lower expense is not always better; interpret with staffing, quality, acuity, and occupancy.",current_public_puf_api,Financials
revenue_expense_spread_per_day,Revenue-expense spread per resident day,dollar,Margin,TRUE,TRUE,90,Net patient revenue per day - operating expense per day,Difference between daily net patient revenue and daily operating expense.,Makes margin pressure visible in dollar-per-day terms.,Positive spread suggests daily patient revenue exceeds operating expense.,Negative spread suggests daily expenses exceed patient revenue.,Trend reveals whether financial pressure is improving or worsening before looking at ratios.,This is a simplified operating spread and should be reconciled with formal margin fields.,current_public_puf_api,Financials
patient_service_margin,Patient service margin,percent,Margin,TRUE,TRUE,100,Net income from service to patients / net patient revenue,Net income from patient care services as a share of net patient revenue.,Assesses whether patient care operations are financially sustainable.,Positive margin suggests care delivery revenue is covering related operating costs.,Negative margin suggests patient care operations are not covering costs.,"Worsening trend may indicate revenue pressure, cost growth, payer-mix deterioration, or staffing pressure.","Does not explain cause; use with revenue/day, expense/day, payer mix, and labor metrics.",current_public_puf_api,Financials
total_margin,Total margin,percent,Margin,TRUE,TRUE,110,Net income / net patient revenue,Overall net income as a share of net patient revenue.,Evaluates total financial performance after other income effects.,Higher value indicates stronger overall surplus relative to care revenue.,Lower or negative value indicates weaker overall financial performance.,Trend reveals whether overall profitability is improving or deteriorating.,"Can be influenced by accounting, ownership structure, related parties, and other income.",current_public_puf_api,Financials
